acc_x,acc_y,acc_z
-2.088,3.413,0.696
-7.48,4.852,-4.403
-2.636,-0.05,-1.318
-1.712,0.589,-2.07
-0.196,-0.358,0.37
-0.554,-0.613,-0.186
0.676,-0.391,-0.118
-0.043,-0.481,0.342
0.473,-0.762,-0.126
0.132,-0.687,0.236
0.212,0.45,0.062
-0.618,-0.245,-0.033
0.218,0.276,-0.263
-0.263,0.121,-0.276
-0.61,0.253,-0.455
-0.361,0.55,-0.365
-0.623,0.492,-0.071
-0.308,0.188,-0.609
-0.738,0.269,-0.222
0.474,0.681,-0.16
-0.203,-0.2,-0.488
-0.062,0.271,-0.138
0.602,-0.44,0.161
1.92,-0.499,0.422
0.654,0.127,1.486
1.133,-0.362,0.902
0.147,-0.1,1.038
0.907,-0.109,1.217
0.546,-0.467,0.911
0.766,-0.74,1.178
0.111,-0.826,0.748
0.151,1.251,0.132
-1.199,0.108,-0.004
-0.731,0.252,-0.103
-0.906,0.8,-0.729
-1.294,0.68,-0.229
-0.247,-0.055,-0.529
0.139,0.304,-0.428
-0.405,0.256,-0.296
-0.448,-0.001,-0.31
-0.075,0.175,0.013
-0.024,-0.038,-0.323
-0.382,0.176,-0.242
-0.081,0.038,-0.201
-0.272,-0.073,-0.009
-0.116,0.134,0.014
-0.037,-0.055,-0.143
-0.262,0.001,-0.164
-0.292,-0.003,-0.094
-0.024,0.034,-0.234
0.734,0.36,-0.628
-0.716,-0.541,1.026
1.354,-0.243,2.394
3.188,-0.049,4.363
7.966,-5.272,9.453
6.478,-0.813,8.049
-1.216,-2.701,0.913
-17.517,22.528,-4.724
-12.471,6.314,-10.666
-1.833,0.072,-2.599
-2.769,1.297,-2.101
0.469,-1.696,-1.057
0.375,-0.764,0.254
0.972,-0.519,0.075
1.226,-1.166,0.463
0.239,0.032,0.421
0.818,-0.338,0.189
-0.152,-0.85,0.199
-0.053,0.192,-0.034
-0.336,0.076,-0.471
-0.967,-0.041,0.042
-1.181,-0.29,0.173
0.487,0.019,-0.889
-1.034,0.16,-0.228
-0.982,0.896,-0.748
-0.381,0.131,-0.126
-0.449,0.282,0.155
0.688,-0.636,0.396
-0.574,-0.221,1.127
1.71,0.094,1.163
-0.176,-0.326,0.329
1.118,-0.466,1.366
-0.171,-0.041,0.325
1.48,-0.995,1.053
-0.238,-0.103,1.408
1.108,-0.349,0.689
-0.243,0.212,1.158
1.305,-1.337,0.655
0.737,-0.531,1.481
0.882,-0.343,0.27
-1.509,0.014,-0.113
